"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x23","x24","x25","x26","x27","dec"
18,11581,12,0,-13,37,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,"F"
22,63994,10,0,-2,10,0,0,0,0,0,0,0,0,1,10,0,0,0,0,0,1,0,1,1,0,0,"F"
10,131237,9,0,-3,20,0,0,0,0,0,0,1,0,0,9,1,0,0,0,0,0,0,3,1,0,0,"F"
11,37901,10,0,7,20,0,0,0,0,0,0,1,0,0,10,1,0,0,0,0,0,0,0,1,1,0,"F"
20,43540,4,0,10,40,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,1,0,0,0,"F"
8,42334,5,0,10,40,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,3,0,1,0,"F"
31,53303,13,-419,3,38,0,0,0,0,1,0,0,0,0,11,0,0,0,1,0,0,0,2,1,0,0,"F"
8,96468,7,0,0,12,0,0,0,0,0,0,1,0,0,7,1,0,0,0,0,0,0,3,0,1,0,"F"
19,59829,12,0,23,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,"F"
32,12784,9,0,1,40,0,0,0,0,0,0,1,0,0,9,0,0,1,0,0,0,0,1,1,0,0,"F"
15,60905,10,0,-20,40,0,0,0,0,0,0,1,0,0,10,1,0,0,0,0,0,0,0,1,0,0,"F"
10,70927,8,0,26,20,0,0,0,0,1,0,0,0,0,8,1,0,0,0,0,0,0,1,0,0,0,"F"
9,36567,10,0,-8,30,0,0,0,0,0,0,1,0,0,10,1,0,0,0,0,0,0,3,1,0,0,"F"
18,45448,13,0,14,40,0,0,0,0,0,0,1,0,0,11,0,0,0,1,0,0,0,2,1,1,0,"T"
8,98436,7,0,-5,20,0,0,0,0,0,0,1,0,0,7,1,0,0,0,0,0,0,3,1,0,0,"F"
11,46628,10,0,23,40,0,0,0,0,0,0,0,0,1,10,1,0,0,0,0,0,0,3,1,1,0,"F"
38,30931,9,0,-12,35,0,0,0,1,0,0,0,0,0,9,0,0,0,1,0,0,0,2,1,1,0,"F"
12,50713,9,0,-12,40,0,0,0,0,0,0,0,0,1,9,0,0,0,1,0,0,0,2,1,0,0,"F"
11,78895,11,0,-10,36,0,0,0,0,0,0,1,0,0,16,1,0,0,0,0,0,0,3,0,0,0,"F"
22,70963,13,0,-10,45,0,0,0,0,0,0,1,0,0,11,0,0,0,0,0,1,0,1,1,0,0,"F"
10,94884,10,0,6,15,0,0,0,0,0,0,1,0,0,10,1,0,0,0,0,0,0,3,1,0,0,"F"
32,48732,13,0,22,40,0,0,0,0,0,0,0,0,1,11,0,0,0,1,0,0,0,2,1,1,0,"F"
28,58682,14,-756,10,40,0,0,0,0,1,0,0,0,0,12,0,0,0,1,0,0,0,2,1,0,0,"F"
15,16531,15,0,-6,40,0,1,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0,"F"
20,65131,12,2563,-2,40,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,1,0,"T"
18,45842,16,-853,19,60,0,0,0,1,0,0,0,0,0,27,1,0,0,0,0,0,0,0,1,0,0,"T"
15,52239,10,0,-11,40,0,0,0,0,0,0,1,0,0,10,0,0,0,0,1,0,0,0,1,0,0,"F"
18,41978,9,0,17,40,0,1,0,0,0,0,0,0,0,9,0,0,0,1,0,0,0,2,1,1,0,"T"
32,42454,10,0,6,12,0,0,0,0,0,0,1,0,0,10,0,0,0,1,0,0,0,2,1,0,0,"F"
18,53637,13,2433,-9,40,0,0,0,0,1,0,0,0,0,11,0,0,0,1,0,0,0,2,1,1,0,"T"
24,65569,15,0,-20,40,0,0,0,0,0,0,1,0,0,15,0,0,0,0,0,1,0,0,1,1,0,"F"
22,58509,10,0,-20,40,0,0,0,0,1,0,0,0,0,10,0,0,0,1,0,0,0,2,1,1,0,"F"
11,49084,10,0,-3,15,0,0,0,0,0,0,1,0,0,10,1,0,0,0,0,0,0,0,1,1,0,"F"
16,67499,4,0,-31,40,0,0,0,0,0,0,0,0,1,4,0,0,0,0,1,0,0,0,1,1,0,"F"
16,104018,9,0,2,70,0,0,0,1,0,0,0,0,0,9,0,0,0,1,0,0,0,2,1,1,0,"F"
26,96524,13,2563,29,50,0,0,0,0,0,0,1,0,0,11,0,0,0,1,0,0,0,2,1,1,0,"T"
24,56957,14,0,-33,45,0,0,0,0,0,0,1,0,0,12,0,0,0,1,0,0,0,2,1,1,0,"T"
20,38322,11,0,5,40,0,0,1,0,0,0,0,0,0,16,0,0,0,1,0,0,0,2,0,1,0,"T"
18,66649,10,0,0,30,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,1,0,3,1,0,0,"F"
26,51706,14,0,-4,70,0,0,0,0,1,0,0,0,0,12,0,0,0,1,0,0,0,2,1,0,0,"T"
10,46820,7,0,-10,25,0,0,0,0,0,0,1,0,0,7,1,0,0,0,0,0,0,0,1,1,0,"F"
16,58067,12,0,15,40,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2,1,1,0,"F"
20,49124,9,0,0,48,0,0,0,0,0,0,1,0,0,9,0,0,0,1,0,0,0,2,1,1,0,"F"
16,87384,9,0,7,40,0,0,0,0,0,0,1,0,0,9,0,0,0,1,0,0,0,2,1,1,0,"F"
10,49936,9,0,-16,24,0,0,0,0,0,0,1,0,0,9,1,0,0,0,0,0,0,3,1,1,0,"F"
13,63167,13,0,9,80,0,0,1,0,0,0,0,0,0,11,0,0,0,1,0,0,0,2,1,1,0,"T"
16,84978,10,0,0,45,0,0,0,0,1,0,0,0,0,10,0,0,0,1,0,0,0,2,1,1,0,"F"
16,67499,7,0,24,40,0,0,0,0,0,0,1,0,0,7,0,0,0,1,0,0,0,2,1,1,0,"F"
17,60975,9,0,-12,43,0,0,0,0,0,0,1,0,0,9,0,0,0,1,0,0,0,2,1,1,0,"T"
22,48566,10,0,14,30,0,0,1,0,0,0,0,0,0,10,0,0,0,1,0,0,0,2,1,1,0,"F"
10,111539,10,33333,9,40,0,0,0,0,0,0,1,0,0,10,1,0,0,0,0,0,0,0,0,0,0,"T"
13,34140,13,0,0,40,0,0,0,0,0,0,1,0,0,11,1,0,0,0,0,0,0,0,0,0,0,"F"
15,55168,13,0,-11,65,0,0,0,0,0,0,1,0,0,11,1,0,0,0,0,0,0,3,1,0,0,"F"
24,31887,10,0,-11,43,0,0,0,0,0,0,1,0,0,10,1,0,0,0,0,0,0,0,1,0,0,"F"
13,89687,13,0,4,40,0,0,0,0,0,0,1,0,0,11,1,0,0,0,0,0,0,3,1,0,0,"F"
16,16641,9,0,2,40,0,0,1,0,0,0,0,0,0,9,0,0,0,1,0,0,0,2,1,1,0,"F"
24,77686,9,0,4,60,0,0,0,1,0,0,0,0,0,9,0,0,0,1,0,0,0,2,1,1,0,"F"
